# Datos completos XRPUSDT interval=5m total=1000
# openTime(utc), open, high, low, close, volume, closeTime(utc), trades
2026-01-25 03:45:00,1.89980000,1.89980000,1.89830000,1.89900000,110365.80000000,2026-01-25 03:49:59,1144
2026-01-25 03:50:00,1.89910000,1.89910000,1.89850000,1.89890000,42841.00000000,2026-01-25 03:54:59,511
2026-01-25 03:55:00,1.89890000,1.90160000,1.89880000,1.90060000,74885.50000000,2026-01-25 03:59:59,925
2026-01-25 04:00:00,1.90070000,1.90270000,1.90000000,1.90160000,56678.00000000,2026-01-25 04:04:59,876
2026-01-25 04:05:00,1.90170000,1.90250000,1.90110000,1.90120000,59860.40000000,2026-01-25 04:09:59,578
2026-01-25 04:10:00,1.90110000,1.90150000,1.90040000,1.90040000,80240.90000000,2026-01-25 04:14:59,764
2026-01-25 04:15:00,1.90040000,1.90090000,1.89890000,1.89890000,55625.50000000,2026-01-25 04:19:59,718
2026-01-25 04:20:00,1.89900000,1.90090000,1.89900000,1.90080000,122756.10000000,2026-01-25 04:24:59,746
2026-01-25 04:25:00,1.90080000,1.90190000,1.90010000,1.90180000,86473.50000000,2026-01-25 04:29:59,1137
2026-01-25 04:30:00,1.90190000,1.90390000,1.90170000,1.90210000,130034.10000000,2026-01-25 04:34:59,1356
2026-01-25 04:35:00,1.90220000,1.90350000,1.90210000,1.90290000,39360.70000000,2026-01-25 04:39:59,539
2026-01-25 04:40:00,1.90290000,1.90320000,1.90230000,1.90280000,35836.10000000,2026-01-25 04:44:59,516
2026-01-25 04:45:00,1.90280000,1.90300000,1.90240000,1.90300000,22558.40000000,2026-01-25 04:49:59,358
2026-01-25 04:50:00,1.90300000,1.90320000,1.90230000,1.90230000,44341.10000000,2026-01-25 04:54:59,449
2026-01-25 04:55:00,1.90240000,1.90240000,1.90130000,1.90130000,36797.10000000,2026-01-25 04:59:59,434
2026-01-25 05:00:00,1.90130000,1.90170000,1.90070000,1.90170000,41948.70000000,2026-01-25 05:04:59,527
2026-01-25 05:05:00,1.90160000,1.90170000,1.90060000,1.90110000,85425.30000000,2026-01-25 05:09:59,544
2026-01-25 05:10:00,1.90100000,1.90200000,1.90100000,1.90200000,45812.10000000,2026-01-25 05:14:59,479
2026-01-25 05:15:00,1.90200000,1.90200000,1.90060000,1.90090000,53800.10000000,2026-01-25 05:19:59,677
2026-01-25 05:20:00,1.90090000,1.90090000,1.90010000,1.90010000,46025.20000000,2026-01-25 05:24:59,470
2026-01-25 05:25:00,1.90010000,1.90030000,1.89960000,1.90010000,62863.20000000,2026-01-25 05:29:59,680
2026-01-25 05:30:00,1.90000000,1.90010000,1.89750000,1.89750000,277854.30000000,2026-01-25 05:34:59,1085
2026-01-25 05:35:00,1.89760000,1.89930000,1.89710000,1.89830000,142379.00000000,2026-01-25 05:39:59,969
2026-01-25 05:40:00,1.89840000,1.89890000,1.89780000,1.89830000,25631.30000000,2026-01-25 05:44:59,581
