# Datos completos BTCUSDT interval=5m total=1000
# openTime(utc), open, high, low, close, volume, closeTime(utc), trades
2026-01-23 10:30:00,89102.99000000,89103.00000000,88977.31000000,89031.72000000,45.95636000,2026-01-23 10:34:59,11619
2026-01-23 10:35:00,89031.73000000,89097.98000000,89031.72000000,89090.96000000,18.05993000,2026-01-23 10:39:59,12410
2026-01-23 10:40:00,89090.95000000,89133.38000000,89033.99000000,89127.97000000,26.50946000,2026-01-23 10:44:59,11140
2026-01-23 10:45:00,89127.96000000,89160.74000000,89033.66000000,89066.02000000,72.94144000,2026-01-23 10:49:59,17348
2026-01-23 10:50:00,89066.02000000,89066.27000000,89034.90000000,89048.69000000,18.02813000,2026-01-23 10:54:59,4791
2026-01-23 10:55:00,89048.69000000,89060.00000000,89020.10000000,89046.49000000,13.29728000,2026-01-23 10:59:59,5185
2026-01-23 11:00:00,89046.49000000,89155.87000000,89000.00000000,89122.93000000,58.11327000,2026-01-23 11:04:59,20318
2026-01-23 11:05:00,89122.92000000,89204.82000000,89106.16000000,89163.52000000,69.53336000,2026-01-23 11:09:59,14587
2026-01-23 11:10:00,89163.52000000,89244.86000000,89163.52000000,89222.89000000,45.23336000,2026-01-23 11:14:59,10592
2026-01-23 11:15:00,89222.88000000,89267.53000000,89204.84000000,89237.21000000,34.02248000,2026-01-23 11:19:59,7904
2026-01-23 11:20:00,89237.22000000,89250.00000000,89204.84000000,89216.67000000,24.06618000,2026-01-23 11:24:59,5553
2026-01-23 11:25:00,89216.66000000,89275.96000000,89216.66000000,89219.99000000,71.32652000,2026-01-23 11:29:59,6406
2026-01-23 11:30:00,89219.99000000,89355.51000000,89219.99000000,89296.79000000,62.99630000,2026-01-23 11:34:59,14405
2026-01-23 11:35:00,89296.79000000,89320.27000000,89283.73000000,89311.22000000,21.48533000,2026-01-23 11:39:59,5468
2026-01-23 11:40:00,89311.21000000,89311.21000000,89249.20000000,89249.20000000,33.19748000,2026-01-23 11:44:59,7107
