# Datos completos ETHUSDT interval=5m total=1000
# openTime(utc), open, high, low, close, volume, closeTime(utc), trades
2026-01-23 10:30:00,2926.94000000,2928.58000000,2922.13000000,2925.04000000,1158.55030000,2026-01-23 10:34:59,20111
2026-01-23 10:35:00,2925.04000000,2928.67000000,2924.45000000,2927.41000000,748.31730000,2026-01-23 10:39:59,15623
2026-01-23 10:40:00,2927.40000000,2932.00000000,2923.45000000,2929.31000000,2789.91550000,2026-01-23 10:44:59,21516
2026-01-23 10:45:00,2929.30000000,2935.00000000,2928.22000000,2934.07000000,2047.27120000,2026-01-23 10:49:59,19000
2026-01-23 10:50:00,2934.07000000,2934.07000000,2930.52000000,2931.80000000,518.53550000,2026-01-23 10:54:59,10346
2026-01-23 10:55:00,2931.80000000,2932.48000000,2929.82000000,2930.95000000,417.71920000,2026-01-23 10:59:59,9328
2026-01-23 11:00:00,2930.95000000,2937.73000000,2928.44000000,2935.97000000,2298.18700000,2026-01-23 11:04:59,21780
2026-01-23 11:05:00,2935.97000000,2939.32000000,2934.60000000,2936.75000000,1480.05930000,2026-01-23 11:09:59,21194
2026-01-23 11:10:00,2936.76000000,2940.82000000,2936.74000000,2939.16000000,1839.85360000,2026-01-23 11:14:59,14084
2026-01-23 11:15:00,2939.15000000,2940.27000000,2937.36000000,2937.36000000,624.89490000,2026-01-23 11:19:59,11337
2026-01-23 11:20:00,2937.37000000,2938.21000000,2933.51000000,2934.01000000,490.00520000,2026-01-23 11:24:59,8849
2026-01-23 11:25:00,2934.00000000,2938.47000000,2934.00000000,2937.70000000,431.29060000,2026-01-23 11:29:59,9119
2026-01-23 11:30:00,2937.70000000,2946.66000000,2937.18000000,2945.37000000,1921.44760000,2026-01-23 11:34:59,20623
2026-01-23 11:35:00,2945.38000000,2946.33000000,2943.72000000,2944.54000000,609.68610000,2026-01-23 11:39:59,6882
2026-01-23 11:40:00,2944.53000000,2944.97000000,2942.35000000,2942.97000000,856.31860000,2026-01-23 11:44:59,8145
2026-01-23 11:45:00,2942.97000000,2943.94000000,2941.54000000,2942.93000000,297.37150000,2026-01-23 11:49:59,4999
2026-01-23 11:50:00,2942.94000000,2944.66000000,2941.28000000,2943.30000000,302.62690000,2026-01-23 11:54:59,8086
2026-01-23 11:55:00,2943.29000000,2943.35000000,2937.87000000,2940.68000000,879.19810000,2026-01-23 11:59:59,7958
2026-01-23 12:00:00,2940.68000000,2940.69000000,2936.11000000,2937.19000000,657.46120000,2026-01-23 12:04:59,9326
2026-01-23 12:05:00,2937.19000000,2940.09000000,2935.17000000,2940.09000000,898.40950000,2026-01-23 12:09:59,7821
2026-01-23 12:10:00,2940.09000000,2940.28000000,2934.23000000,2934.48000000,446.41090000,2026-01-23 12:14:59,12840
2026-01-23 12:15:00,2934.49000000,2937.28000000,2932.89000000,2937.13000000,570.60460000,2026-01-23 12:19:59,11762
2026-01-23 12:20:00,2937.12000000,2938.86000000,2936.00000000,2938.58000000,440.08130000,2026-01-23 12:24:59,7296
2026-01-23 12:25:00,2938.58000000,2939.73000000,2937.56000000,2937.71000000,484.91890000,2026-01-23 12:29:59,7225
2026-01-23 12:30:00,2937.71000000,2938.20000000,2934.15000000,2934.15000000,370.10450000,2026-01-23 12:34:59,13130
2026-01-23 12:35:00,2934.15000000,2934.41000000,2929.00000000,2931.87000000,1506.53170000,2026-01-23 12:39:59,21601
2026-01-23 12:40:00,2931.88000000,2934.06000000,2929.11000000,2934.05000000,490.65310000,2026-01-23 12:44:59,12046
2026-01-23 12:45:00,2934.06000000,2936.53000000,2931.67000000,2936.10000000,625.79980000,2026-01-23 12:49:59,13749
2026-01-23 12:50:00,2936.10000000,2939.88000000,2935.02000000,2936.21000000,1111.66060000,2026-01-23 12:54:59,13565
2026-01-23 12:55:00,2936.20000000,2937.98000000,2934.85000000,2934.86000000,439.69710000,2026-01-23 12:59:59,10258
2026-01-23 13:00:00,2934.85000000,2938.14000000,2934.15000000,2936.50000000,640.34410000,2026-01-23 13:04:59,14249
2026-01-23 13:05:00,2936.49000000,2938.21000000,2935.34000000,2936.01000000,511.74400000,2026-01-23 13:09:59,11437
2026-01-23 13:10:00,2936.02000000,2940.82000000,2936.01000000,2940.06000000,339.29990000,2026-01-23 13:14:59,9882
2026-01-23 13:15:00,2940.06000000,2941.09000000,2938.46000000,2938.47000000,618.62530000,2026-01-23 13:19:59,12184
2026-01-23 13:20:00,2938.47000000,2942.39000000,2937.88000000,2942.10000000,902.77370000,2026-01-23 13:24:59,14760
2026-01-23 13:25:00,2942.11000000,2943.92000000,2937.44000000,2937.44000000,657.29800000,2026-01-23 13:29:59,17365
2026-01-23 13:30:00,2937.45000000,2937.45000000,2933.09000000,2933.46000000,961.13530000,2026-01-23 13:34:59,11922
2026-01-23 13:35:00,2933.45000000,2935.00000000,2927.09000000,2929.06000000,1158.31510000,2026-01-23 13:39:59,20016
2026-01-23 13:40:00,2929.05000000,2935.77000000,2929.05000000,2935.29000000,467.49860000,2026-01-23 13:44:59,13529
2026-01-23 13:45:00,2935.29000000,2938.87000000,2934.50000000,2935.43000000,551.79670000,2026-01-23 13:49:59,16452
2026-01-23 13:50:00,2935.43000000,2935.43000000,2929.69000000,2931.23000000,767.22920000,2026-01-23 13:54:59,11211
2026-01-23 13:55:00,2931.22000000,2932.89000000,2929.46000000,2930.79000000,200.22420000,2026-01-23 13:59:59,9286
2026-01-23 14:00:00,2930.78000000,2932.98000000,2925.26000000,2932.84000000,895.19890000,2026-01-23 14:04:59,18359
2026-01-23 14:05:00,2932.83000000,2935.77000000,2932.24000000,2935.57000000,429.85760000,2026-01-23 14:09:59,13978
2026-01-23 14:10:00,2935.56000000,2936.83000000,2934.00000000,2934.30000000,481.16690000,2026-01-23 14:14:59,9545
2026-01-23 14:15:00,2934.30000000,2937.86000000,2932.11000000,2935.33000000,273.81450000,2026-01-23 14:19:59,13248
2026-01-23 14:20:00,2935.34000000,2938.45000000,2933.25000000,2936.69000000,644.34610000,2026-01-23 14:24:59,15883
2026-01-23 14:25:00,2936.70000000,2941.36000000,2936.41000000,2940.08000000,1179.82180000,2026-01-23 14:29:59,18630
2026-01-23 14:30:00,2940.07000000,2942.39000000,2912.77000000,2914.26000000,4951.13450000,2026-01-23 14:34:59,79987
