# Datos completos XRPUSDT interval=5m total=1000
# openTime(utc), open, high, low, close, volume, closeTime(utc), trades
2026-01-23 10:30:00,1.90930000,1.91100000,1.90750000,1.90910000,149451.40000000,2026-01-23 10:34:59,1775
2026-01-23 10:35:00,1.90910000,1.91170000,1.90910000,1.91050000,44002.10000000,2026-01-23 10:39:59,995
2026-01-23 10:40:00,1.91050000,1.91230000,1.90850000,1.91220000,110898.40000000,2026-01-23 10:44:59,1909
2026-01-23 10:45:00,1.91230000,1.91290000,1.91050000,1.91080000,164445.30000000,2026-01-23 10:49:59,2344
2026-01-23 10:50:00,1.91070000,1.91070000,1.90880000,1.90960000,76322.80000000,2026-01-23 10:54:59,1282
2026-01-23 10:55:00,1.90970000,1.91020000,1.90770000,1.90770000,60299.00000000,2026-01-23 10:59:59,878
2026-01-23 11:00:00,1.90770000,1.91150000,1.90670000,1.91050000,266407.00000000,2026-01-23 11:04:59,3431
2026-01-23 11:05:00,1.91060000,1.91240000,1.90980000,1.91040000,133854.80000000,2026-01-23 11:09:59,2045
2026-01-23 11:10:00,1.91040000,1.91250000,1.91010000,1.91200000,51331.40000000,2026-01-23 11:14:59,1282
2026-01-23 11:15:00,1.91200000,1.91270000,1.91100000,1.91100000,43132.30000000,2026-01-23 11:19:59,1251
2026-01-23 11:20:00,1.91110000,1.91210000,1.91060000,1.91070000,45418.20000000,2026-01-23 11:24:59,742
2026-01-23 11:25:00,1.91060000,1.91190000,1.91060000,1.91140000,65494.50000000,2026-01-23 11:29:59,928
2026-01-23 11:30:00,1.91140000,1.91430000,1.91110000,1.91320000,99724.30000000,2026-01-23 11:34:59,1605
2026-01-23 11:35:00,1.91330000,1.91470000,1.91300000,1.91420000,181700.00000000,2026-01-23 11:39:59,853
2026-01-23 11:40:00,1.91420000,1.91450000,1.91350000,1.91350000,113841.90000000,2026-01-23 11:44:59,764
2026-01-23 11:45:00,1.91360000,1.91430000,1.91250000,1.91310000,34190.20000000,2026-01-23 11:49:59,730
2026-01-23 11:50:00,1.91300000,1.91450000,1.91300000,1.91350000,35488.40000000,2026-01-23 11:54:59,729
2026-01-23 11:55:00,1.91360000,1.91460000,1.91260000,1.91420000,146899.50000000,2026-01-23 11:59:59,1060
2026-01-23 12:00:00,1.91420000,1.91420000,1.91200000,1.91250000,66514.80000000,2026-01-23 12:04:59,833
