# Datos completos XRPUSDT interval=5m total=1000
# openTime(utc), open, high, low, close, volume, closeTime(utc), trades
2025-10-26 04:30:00,2.61060000,2.61650000,2.61010000,2.61610000,175113.20000000,2025-10-26 04:34:59,2398
2025-10-26 04:35:00,2.61610000,2.61720000,2.61350000,2.61410000,89435.20000000,2025-10-26 04:39:59,2092
2025-10-26 04:40:00,2.61420000,2.61430000,2.61190000,2.61270000,158963.00000000,2025-10-26 04:44:59,2131
2025-10-26 04:45:00,2.61270000,2.61330000,2.60860000,2.60960000,107448.80000000,2025-10-26 04:49:59,2300
2025-10-26 04:50:00,2.60960000,2.61180000,2.60870000,2.61020000,95368.00000000,2025-10-26 04:54:59,1534
2025-10-26 04:55:00,2.61020000,2.61270000,2.60990000,2.61010000,95716.40000000,2025-10-26 04:59:59,1957
2025-10-26 05:00:00,2.61000000,2.61000000,2.60520000,2.60770000,156346.10000000,2025-10-26 05:04:59,2561
2025-10-26 05:05:00,2.60760000,2.60800000,2.60500000,2.60790000,93404.50000000,2025-10-26 05:09:59,1962
2025-10-26 05:10:00,2.60790000,2.60960000,2.60700000,2.60860000,85860.30000000,2025-10-26 05:14:59,1981
2025-10-26 05:15:00,2.60850000,2.61390000,2.60700000,2.61390000,70193.50000000,2025-10-26 05:19:59,2257
2025-10-26 05:20:00,2.61390000,2.61390000,2.60950000,2.60990000,110090.60000000,2025-10-26 05:24:59,1387
2025-10-26 05:25:00,2.61000000,2.61310000,2.61000000,2.61300000,86669.70000000,2025-10-26 05:29:59,1974
2025-10-26 05:30:00,2.61300000,2.61700000,2.61290000,2.61630000,128418.30000000,2025-10-26 05:34:59,1669
2025-10-26 05:35:00,2.61620000,2.61760000,2.61480000,2.61760000,135555.70000000,2025-10-26 05:39:59,1944
2025-10-26 05:40:00,2.61750000,2.61770000,2.61500000,2.61690000,100266.80000000,2025-10-26 05:44:59,1440
2025-10-26 05:45:00,2.61690000,2.61800000,2.61490000,2.61670000,123765.40000000,2025-10-26 05:49:59,1639
2025-10-26 05:50:00,2.61680000,2.61740000,2.61430000,2.61640000,38709.90000000,2025-10-26 05:54:59,1582
2025-10-26 05:55:00,2.61650000,2.61850000,2.61310000,2.61470000,231798.80000000,2025-10-26 05:59:59,2008
2025-10-26 06:00:00,2.61470000,2.61720000,2.61410000,2.61640000,102993.60000000,2025-10-26 06:04:59,2141
2025-10-26 06:05:00,2.61640000,2.61720000,2.61230000,2.61260000,83613.00000000,2025-10-26 06:09:59,2028
2025-10-26 06:10:00,2.61260000,2.61500000,2.61150000,2.61320000,126868.60000000,2025-10-26 06:14:59,1499
2025-10-26 06:15:00,2.61330000,2.61330000,2.61120000,2.61270000,146406.90000000,2025-10-26 06:19:59,1641
2025-10-26 06:20:00,2.61270000,2.61830000,2.61260000,2.61830000,140952.90000000,2025-10-26 06:24:59,1860
2025-10-26 06:25:00,2.61820000,2.62140000,2.61820000,2.62080000,208257.80000000,2025-10-26 06:29:59,2033
2025-10-26 06:30:00,2.62080000,2.62080000,2.61840000,2.61870000,231490.00000000,2025-10-26 06:34:59,1857
2025-10-26 06:35:00,2.61860000,2.62240000,2.61790000,2.62210000,177373.20000000,2025-10-26 06:39:59,2276
2025-10-26 06:40:00,2.62210000,2.62210000,2.61900000,2.62050000,115784.00000000,2025-10-26 06:44:59,1404
2025-10-26 06:45:00,2.62050000,2.62190000,2.61860000,2.61900000,175192.60000000,2025-10-26 06:49:59,2168
2025-10-26 06:50:00,2.61900000,2.62180000,2.61840000,2.62150000,157761.40000000,2025-10-26 06:54:59,1871
2025-10-26 06:55:00,2.62150000,2.62710000,2.62010000,2.62650000,222483.10000000,2025-10-26 06:59:59,2469
2025-10-26 07:00:00,2.62650000,2.62650000,2.62210000,2.62290000,228170.30000000,2025-10-26 07:04:59,2738
2025-10-26 07:05:00,2.62280000,2.62480000,2.62250000,2.62370000,209944.30000000,2025-10-26 07:09:59,2482
2025-10-26 07:10:00,2.62380000,2.62570000,2.62270000,2.62480000,261676.10000000,2025-10-26 07:14:59,2496
2025-10-26 07:15:00,2.62480000,2.62480000,2.62000000,2.62000000,237652.40000000,2025-10-26 07:19:59,2542
2025-10-26 07:20:00,2.62000000,2.62210000,2.61900000,2.61960000,213785.70000000,2025-10-26 07:24:59,1928
2025-10-26 07:25:00,2.61970000,2.62600000,2.61950000,2.62330000,227801.40000000,2025-10-26 07:29:59,3011
2025-10-26 07:30:00,2.62330000,2.62390000,2.61900000,2.61930000,165677.60000000,2025-10-26 07:34:59,1997
2025-10-26 07:35:00,2.61920000,2.62320000,2.61920000,2.62080000,201657.80000000,2025-10-26 07:39:59,2397
2025-10-26 07:40:00,2.62080000,2.62270000,2.62050000,2.62100000,91718.30000000,2025-10-26 07:44:59,1562
2025-10-26 07:45:00,2.62110000,2.62370000,2.62110000,2.62340000,89249.80000000,2025-10-26 07:49:59,2413
2025-10-26 07:50:00,2.62350000,2.62520000,2.62130000,2.62350000,105781.10000000,2025-10-26 07:54:59,2250
2025-10-26 07:55:00,2.62350000,2.62620000,2.62200000,2.62410000,121226.30000000,2025-10-26 07:59:59,1858
2025-10-26 08:00:00,2.62410000,2.62560000,2.62110000,2.62120000,122877.00000000,2025-10-26 08:04:59,1969
2025-10-26 08:05:00,2.62120000,2.62280000,2.62010000,2.62130000,228654.00000000,2025-10-26 08:09:59,2452
2025-10-26 08:10:00,2.62130000,2.62150000,2.61970000,2.61990000,153937.00000000,2025-10-26 08:14:59,1896
2025-10-26 08:15:00,2.61990000,2.62100000,2.61780000,2.62060000,254057.50000000,2025-10-26 08:19:59,2090
2025-10-26 08:20:00,2.62050000,2.62990000,2.61870000,2.62700000,329335.50000000,2025-10-26 08:24:59,4834
2025-10-26 08:25:00,2.62710000,2.62980000,2.62540000,2.62970000,194633.20000000,2025-10-26 08:29:59,3128
2025-10-26 08:30:00,2.62960000,2.62960000,2.62570000,2.62670000,137664.50000000,2025-10-26 08:34:59,2791
2025-10-26 08:35:00,2.62670000,2.62970000,2.62440000,2.62960000,120151.50000000,2025-10-26 08:39:59,2552
2025-10-26 08:40:00,2.62970000,2.63830000,2.62920000,2.63550000,976493.50000000,2025-10-26 08:44:59,6350
2025-10-26 08:45:00,2.63540000,2.63540000,2.63120000,2.63370000,212340.50000000,2025-10-26 08:49:59,3493
2025-10-26 08:50:00,2.63380000,2.63620000,2.63230000,2.63300000,257026.30000000,2025-10-26 08:54:59,2231
2025-10-26 08:55:00,2.63310000,2.63400000,2.63150000,2.63290000,127772.50000000,2025-10-26 08:59:59,1719
2025-10-26 09:00:00,2.63290000,2.64000000,2.63290000,2.63760000,593056.00000000,2025-10-26 09:04:59,5178
2025-10-26 09:05:00,2.63770000,2.64440000,2.63650000,2.64260000,480060.10000000,2025-10-26 09:09:59,4997
2025-10-26 09:10:00,2.64260000,2.64360000,2.63630000,2.64060000,465618.80000000,2025-10-26 09:14:59,4485
2025-10-26 09:15:00,2.64070000,2.64770000,2.64030000,2.64760000,456404.40000000,2025-10-26 09:19:59,3434
2025-10-26 09:20:00,2.64770000,2.66090000,2.64610000,2.65860000,1536637.70000000,2025-10-26 09:24:59,14214
2025-10-26 09:25:00,2.65870000,2.66000000,2.65380000,2.65860000,939816.90000000,2025-10-26 09:29:59,12930
2025-10-26 09:30:00,2.65870000,2.66240000,2.65070000,2.65670000,1017448.30000000,2025-10-26 09:34:59,14227
2025-10-26 09:35:00,2.65670000,2.66020000,2.65440000,2.65530000,359325.80000000,2025-10-26 09:39:59,7116
2025-10-26 09:40:00,2.65520000,2.65910000,2.64880000,2.65150000,496547.40000000,2025-10-26 09:44:59,6774
2025-10-26 09:45:00,2.65150000,2.65190000,2.64470000,2.64600000,457892.60000000,2025-10-26 09:49:59,7360
2025-10-26 09:50:00,2.64590000,2.64590000,2.63990000,2.64010000,289882.20000000,2025-10-26 09:54:59,5592
2025-10-26 09:55:00,2.64010000,2.64700000,2.63980000,2.64630000,285208.10000000,2025-10-26 09:59:59,4566
2025-10-26 10:00:00,2.64630000,2.64760000,2.64020000,2.64030000,349981.60000000,2025-10-26 10:04:59,5012
2025-10-26 10:05:00,2.64020000,2.64020000,2.63380000,2.63390000,318685.70000000,2025-10-26 10:09:59,5114
2025-10-26 10:10:00,2.63390000,2.63840000,2.63380000,2.63760000,235096.50000000,2025-10-26 10:14:59,3254
2025-10-26 10:15:00,2.63760000,2.63940000,2.63390000,2.63940000,353739.80000000,2025-10-26 10:19:59,4955
2025-10-26 10:20:00,2.63930000,2.64260000,2.63860000,2.63930000,193200.80000000,2025-10-26 10:24:59,3817
2025-10-26 10:25:00,2.63930000,2.63940000,2.63650000,2.63650000,91797.30000000,2025-10-26 10:29:59,2458
2025-10-26 10:30:00,2.63650000,2.63650000,2.62710000,2.62740000,631705.80000000,2025-10-26 10:34:59,4387
2025-10-26 10:35:00,2.62750000,2.63170000,2.62740000,2.63140000,184406.80000000,2025-10-26 10:39:59,3752
2025-10-26 10:40:00,2.63130000,2.63180000,2.62880000,2.63110000,106770.90000000,2025-10-26 10:44:59,2019
2025-10-26 10:45:00,2.63110000,2.63110000,2.62810000,2.63010000,89177.50000000,2025-10-26 10:49:59,2524
2025-10-26 10:50:00,2.63010000,2.63200000,2.62940000,2.63070000,142688.00000000,2025-10-26 10:54:59,2730
2025-10-26 10:55:00,2.63070000,2.63150000,2.62940000,2.63010000,173109.60000000,2025-10-26 10:59:59,1837
2025-10-26 11:00:00,2.63010000,2.63270000,2.62800000,2.62810000,256708.60000000,2025-10-26 11:04:59,2640
2025-10-26 11:05:00,2.62810000,2.62810000,2.61890000,2.62260000,687029.90000000,2025-10-26 11:09:59,8079
2025-10-26 11:10:00,2.62250000,2.62640000,2.62060000,2.62550000,298337.00000000,2025-10-26 11:14:59,3436
2025-10-26 11:15:00,2.62550000,2.63100000,2.62550000,2.62800000,261540.90000000,2025-10-26 11:19:59,4165
2025-10-26 11:20:00,2.62800000,2.63140000,2.62490000,2.62910000,252439.40000000,2025-10-26 11:24:59,4640
2025-10-26 11:25:00,2.62900000,2.63420000,2.62880000,2.63360000,370421.80000000,2025-10-26 11:29:59,3721
2025-10-26 11:30:00,2.63360000,2.63900000,2.63200000,2.63520000,494683.60000000,2025-10-26 11:34:59,6857
2025-10-26 11:35:00,2.63520000,2.64080000,2.63510000,2.64070000,372566.50000000,2025-10-26 11:39:59,6403
2025-10-26 11:40:00,2.64080000,2.65130000,2.63840000,2.64860000,910563.10000000,2025-10-26 11:44:59,11216
2025-10-26 11:45:00,2.64870000,2.65300000,2.64140000,2.64550000,999755.30000000,2025-10-26 11:49:59,14752
2025-10-26 11:50:00,2.64540000,2.64610000,2.64110000,2.64560000,383968.40000000,2025-10-26 11:54:59,6252
2025-10-26 11:55:00,2.64560000,2.65000000,2.64530000,2.64690000,300406.00000000,2025-10-26 11:59:59,4023
2025-10-26 12:00:00,2.64690000,2.65110000,2.64430000,2.65030000,557603.50000000,2025-10-26 12:04:59,8227
2025-10-26 12:05:00,2.65030000,2.65490000,2.64820000,2.65190000,507574.60000000,2025-10-26 12:09:59,8030
2025-10-26 12:10:00,2.65190000,2.65680000,2.64670000,2.64930000,419202.40000000,2025-10-26 12:14:59,7419
