# Datos completos BTCUSDT interval=5m total=1000
# openTime(utc), open, high, low, close, volume, closeTime(utc), trades
2025-10-20 02:15:00,108005.13000000,108489.75000000,107981.80000000,108333.93000000,106.18052000,2025-10-20 02:19:59,24051
2025-10-20 02:20:00,108333.93000000,108517.40000000,108305.00000000,108463.34000000,31.20061000,2025-10-20 02:24:59,14564
2025-10-20 02:25:00,108463.35000000,108463.35000000,108362.88000000,108441.58000000,23.19190000,2025-10-20 02:29:59,8223
2025-10-20 02:30:00,108441.58000000,108466.00000000,108303.93000000,108415.54000000,48.61182000,2025-10-20 02:34:59,12978
2025-10-20 02:35:00,108415.54000000,108788.51000000,108415.54000000,108788.50000000,117.12945000,2025-10-20 02:39:59,26043
2025-10-20 02:40:00,108788.50000000,108788.51000000,108675.45000000,108747.08000000,37.92393000,2025-10-20 02:44:59,11642
2025-10-20 02:45:00,108747.07000000,108840.88000000,108700.01000000,108751.36000000,50.52265000,2025-10-20 02:49:59,12213
2025-10-20 02:50:00,108751.35000000,108970.51000000,108729.99000000,108773.80000000,67.14083000,2025-10-20 02:54:59,18269
2025-10-20 02:55:00,108773.80000000,108804.00000000,108668.85000000,108767.02000000,26.57396000,2025-10-20 02:59:59,8819
2025-10-20 03:00:00,108767.03000000,108777.61000000,108672.67000000,108683.30000000,15.67008000,2025-10-20 03:04:59,6765
2025-10-20 03:05:00,108683.30000000,108735.67000000,108571.59000000,108571.60000000,23.37141000,2025-10-20 03:09:59,10814
2025-10-20 03:10:00,108571.61000000,108700.00000000,108571.61000000,108700.00000000,8.47712000,2025-10-20 03:14:59,6228
2025-10-20 03:15:00,108700.00000000,108960.09000000,108683.25000000,108884.58000000,35.52810000,2025-10-20 03:19:59,11957
2025-10-20 03:20:00,108884.59000000,108884.59000000,108741.12000000,108760.07000000,24.79757000,2025-10-20 03:24:59,9015
2025-10-20 03:25:00,108760.06000000,108771.67000000,108672.00000000,108771.67000000,42.14606000,2025-10-20 03:29:59,8427
2025-10-20 03:30:00,108771.67000000,108829.89000000,108653.43000000,108676.01000000,48.96917000,2025-10-20 03:34:59,11253
2025-10-20 03:35:00,108676.01000000,108829.89000000,108676.00000000,108829.88000000,21.19390000,2025-10-20 03:39:59,6629
2025-10-20 03:40:00,108829.89000000,109239.99000000,108825.59000000,109126.66000000,143.22789000,2025-10-20 03:44:59,22910
2025-10-20 03:45:00,109126.66000000,109350.00000000,109061.43000000,109314.48000000,74.54722000,2025-10-20 03:49:59,21524
2025-10-20 03:50:00,109314.48000000,110427.86000000,109314.48000000,110298.48000000,637.73099000,2025-10-20 03:54:59,74730
2025-10-20 03:55:00,110298.48000000,110404.66000000,110127.42000000,110145.44000000,200.31799000,2025-10-20 03:59:59,33338
2025-10-20 04:00:00,110145.45000000,110367.31000000,110100.00000000,110273.12000000,110.71542000,2025-10-20 04:04:59,40680
2025-10-20 04:05:00,110273.12000000,110535.13000000,110146.15000000,110221.99000000,110.32605000,2025-10-20 04:09:59,33235
2025-10-20 04:10:00,110221.99000000,110402.00000000,110199.63000000,110393.58000000,52.27883000,2025-10-20 04:14:59,19739
2025-10-20 04:15:00,110393.59000000,110474.69000000,110112.00000000,110122.27000000,102.09962000,2025-10-20 04:19:59,27717
2025-10-20 04:20:00,110122.26000000,110160.07000000,109972.17000000,110013.45000000,72.90946000,2025-10-20 04:24:59,19582
2025-10-20 04:25:00,110013.45000000,110111.03000000,109951.96000000,110062.11000000,70.64166000,2025-10-20 04:29:59,14117
2025-10-20 04:30:00,110062.12000000,110319.71000000,110062.10000000,110098.89000000,92.21415000,2025-10-20 04:34:59,22820
2025-10-20 04:35:00,110098.88000000,110251.65000000,110098.88000000,110217.66000000,32.79257000,2025-10-20 04:39:59,17304
2025-10-20 04:40:00,110217.66000000,110293.98000000,110204.29000000,110251.26000000,44.28879000,2025-10-20 04:44:59,13041
2025-10-20 04:45:00,110251.26000000,110288.63000000,110212.00000000,110247.44000000,41.68696000,2025-10-20 04:49:59,7525
2025-10-20 04:50:00,110247.44000000,110347.45000000,110200.00000000,110322.69000000,41.17053000,2025-10-20 04:54:59,10903
2025-10-20 04:55:00,110322.69000000,110453.77000000,110300.00000000,110422.10000000,94.21910000,2025-10-20 04:59:59,12769
2025-10-20 05:00:00,110422.10000000,110434.88000000,110318.06000000,110325.78000000,87.63138000,2025-10-20 05:04:59,12954
2025-10-20 05:05:00,110325.79000000,110453.29000000,110291.27000000,110452.86000000,35.21681000,2025-10-20 05:09:59,13169
2025-10-20 05:10:00,110452.86000000,110590.66000000,110358.57000000,110544.51000000,67.95778000,2025-10-20 05:14:59,14982
2025-10-20 05:15:00,110544.51000000,110620.50000000,110442.72000000,110473.60000000,69.99218000,2025-10-20 05:19:59,12950
2025-10-20 05:20:00,110473.60000000,110752.10000000,110473.60000000,110695.12000000,110.33996000,2025-10-20 05:24:59,29794
2025-10-20 05:25:00,110695.13000000,110736.90000000,110547.18000000,110571.09000000,88.81548000,2025-10-20 05:29:59,13327
2025-10-20 05:30:00,110571.09000000,110800.00000000,110546.85000000,110754.02000000,83.93319000,2025-10-20 05:34:59,19038
2025-10-20 05:35:00,110754.03000000,110802.12000000,110645.37000000,110734.35000000,57.13053000,2025-10-20 05:39:59,18497
2025-10-20 05:40:00,110734.35000000,110800.00000000,110582.28000000,110796.75000000,49.13728000,2025-10-20 05:44:59,17944
2025-10-20 05:45:00,110796.75000000,110833.32000000,110716.82000000,110827.56000000,60.55333000,2025-10-20 05:49:59,12214
2025-10-20 05:50:00,110827.57000000,111111.00000000,110820.46000000,111110.00000000,154.52271000,2025-10-20 05:54:59,21778
2025-10-20 05:55:00,111110.00000000,111110.01000000,110914.41000000,111033.79000000,126.58144000,2025-10-20 05:59:59,21206
2025-10-20 06:00:00,111033.79000000,111185.02000000,111001.91000000,111185.01000000,92.70572000,2025-10-20 06:04:59,24307
2025-10-20 06:05:00,111185.02000000,111236.27000000,111005.40000000,111137.08000000,86.45773000,2025-10-20 06:09:59,20979
2025-10-20 06:10:00,111137.08000000,111246.24000000,111103.13000000,111159.95000000,56.64501000,2025-10-20 06:14:59,12905
2025-10-20 06:15:00,111159.95000000,111277.33000000,111151.10000000,111260.98000000,119.70322000,2025-10-20 06:19:59,14755
2025-10-20 06:20:00,111260.99000000,111303.67000000,111160.27000000,111160.82000000,184.66756000,2025-10-20 06:24:59,17170
2025-10-20 06:25:00,111160.83000000,111200.00000000,111016.35000000,111054.89000000,97.37011000,2025-10-20 06:29:59,18656
2025-10-20 06:30:00,111054.90000000,111318.81000000,111051.22000000,111311.24000000,194.35401000,2025-10-20 06:34:59,21126
2025-10-20 06:35:00,111311.23000000,111368.06000000,111147.88000000,111150.01000000,119.13558000,2025-10-20 06:39:59,19910
