# Datos completos ETHUSDT interval=5m total=1000
# openTime(utc), open, high, low, close, volume, closeTime(utc), trades
2025-10-24 09:55:00,3956.40000000,3958.58000000,3954.50000000,3958.57000000,757.40610000,2025-10-24 09:59:59,5470
2025-10-24 10:00:00,3958.58000000,3958.58000000,3954.00000000,3954.44000000,375.81960000,2025-10-24 10:04:59,9466
2025-10-24 10:05:00,3954.44000000,3958.42000000,3952.00000000,3957.59000000,506.75890000,2025-10-24 10:09:59,9980
2025-10-24 10:10:00,3957.59000000,3964.51000000,3956.85000000,3964.20000000,380.68430000,2025-10-24 10:14:59,7550
2025-10-24 10:15:00,3964.20000000,3964.90000000,3956.43000000,3956.43000000,504.67410000,2025-10-24 10:19:59,10922
2025-10-24 10:20:00,3956.43000000,3957.60000000,3947.72000000,3948.89000000,924.40080000,2025-10-24 10:24:59,12079
2025-10-24 10:25:00,3948.90000000,3951.21000000,3948.59000000,3948.83000000,650.44110000,2025-10-24 10:29:59,7163
2025-10-24 10:30:00,3948.84000000,3957.21000000,3948.84000000,3955.19000000,741.95930000,2025-10-24 10:34:59,13740
2025-10-24 10:35:00,3955.19000000,3955.96000000,3951.52000000,3952.70000000,242.68870000,2025-10-24 10:39:59,8533
2025-10-24 10:40:00,3952.70000000,3955.57000000,3949.98000000,3955.51000000,525.63360000,2025-10-24 10:44:59,7032
2025-10-24 10:45:00,3955.50000000,3958.82000000,3955.07000000,3957.00000000,445.73020000,2025-10-24 10:49:59,5510
2025-10-24 10:50:00,3956.99000000,3958.58000000,3953.48000000,3957.11000000,570.77510000,2025-10-24 10:54:59,9012
2025-10-24 10:55:00,3957.12000000,3958.67000000,3955.73000000,3956.60000000,379.92030000,2025-10-24 10:59:59,5764
2025-10-24 11:00:00,3956.60000000,3958.73000000,3952.80000000,3958.73000000,396.35140000,2025-10-24 11:04:59,11003
2025-10-24 11:05:00,3958.73000000,3959.97000000,3955.60000000,3958.11000000,409.76490000,2025-10-24 11:09:59,8687
2025-10-24 11:10:00,3958.12000000,3963.80000000,3958.11000000,3962.16000000,695.84410000,2025-10-24 11:14:59,6730
2025-10-24 11:15:00,3962.16000000,3963.92000000,3959.50000000,3960.75000000,363.87280000,2025-10-24 11:19:59,8393
2025-10-24 11:20:00,3960.74000000,3960.74000000,3953.40000000,3954.49000000,1089.43280000,2025-10-24 11:24:59,11937
2025-10-24 11:25:00,3954.50000000,3955.63000000,3953.78000000,3955.44000000,292.56900000,2025-10-24 11:29:59,3815
2025-10-24 11:30:00,3955.43000000,3955.43000000,3925.83000000,3940.79000000,5101.73890000,2025-10-24 11:34:59,43677
2025-10-24 11:35:00,3940.79000000,3947.89000000,3937.50000000,3943.22000000,1356.44710000,2025-10-24 11:39:59,22290
2025-10-24 11:40:00,3943.23000000,3948.85000000,3943.23000000,3947.00000000,555.90780000,2025-10-24 11:44:59,9715
2025-10-24 11:45:00,3947.01000000,3947.01000000,3940.38000000,3942.66000000,1296.38530000,2025-10-24 11:49:59,14698
2025-10-24 11:50:00,3942.65000000,3950.27000000,3941.20000000,3948.38000000,914.95930000,2025-10-24 11:54:59,11004
