# Datos completos XRPUSDT interval=5m total=1000
# openTime(utc), open, high, low, close, volume, closeTime(utc), trades
2025-10-24 09:55:00,2.45460000,2.45520000,2.45240000,2.45520000,241557.60000000,2025-10-24 09:59:59,2013
2025-10-24 10:00:00,2.45520000,2.45570000,2.45360000,2.45380000,244686.90000000,2025-10-24 10:04:59,1888
2025-10-24 10:05:00,2.45390000,2.46040000,2.45270000,2.46030000,280930.30000000,2025-10-24 10:09:59,3076
2025-10-24 10:10:00,2.46030000,2.46030000,2.45640000,2.45640000,168615.20000000,2025-10-24 10:14:59,1919
2025-10-24 10:15:00,2.45650000,2.45650000,2.44950000,2.44970000,447773.30000000,2025-10-24 10:19:59,2989
2025-10-24 10:20:00,2.44960000,2.44990000,2.44670000,2.44750000,276777.60000000,2025-10-24 10:24:59,2522
2025-10-24 10:25:00,2.44760000,2.44930000,2.44570000,2.44820000,250104.70000000,2025-10-24 10:29:59,1859
2025-10-24 10:30:00,2.44830000,2.45300000,2.44830000,2.45260000,514490.50000000,2025-10-24 10:34:59,2504
2025-10-24 10:35:00,2.45260000,2.45290000,2.45000000,2.45150000,185083.30000000,2025-10-24 10:39:59,2548
2025-10-24 10:40:00,2.45150000,2.45250000,2.45010000,2.45250000,90929.10000000,2025-10-24 10:44:59,1091
2025-10-24 10:45:00,2.45240000,2.45430000,2.45140000,2.45140000,189177.80000000,2025-10-24 10:49:59,1578
2025-10-24 10:50:00,2.45140000,2.45240000,2.45010000,2.45120000,229605.90000000,2025-10-24 10:54:59,2052
2025-10-24 10:55:00,2.45110000,2.45380000,2.44750000,2.44850000,138949.80000000,2025-10-24 10:59:59,2119
2025-10-24 11:00:00,2.44840000,2.44960000,2.44620000,2.44950000,186606.90000000,2025-10-24 11:04:59,2547
2025-10-24 11:05:00,2.44950000,2.45000000,2.44770000,2.44780000,125651.50000000,2025-10-24 11:09:59,1739
2025-10-24 11:10:00,2.44780000,2.45000000,2.44760000,2.44920000,178556.10000000,2025-10-24 11:14:59,1388
2025-10-24 11:15:00,2.44930000,2.45120000,2.44830000,2.44920000,243808.80000000,2025-10-24 11:19:59,2070
2025-10-24 11:20:00,2.44920000,2.44920000,2.43910000,2.43920000,714227.20000000,2025-10-24 11:24:59,3779
2025-10-24 11:25:00,2.43910000,2.44310000,2.43840000,2.44310000,187239.50000000,2025-10-24 11:29:59,2424
2025-10-24 11:30:00,2.44300000,2.44480000,2.43390000,2.44080000,661764.60000000,2025-10-24 11:34:59,8694
2025-10-24 11:35:00,2.44080000,2.44440000,2.43930000,2.44350000,195535.00000000,2025-10-24 11:39:59,4262
2025-10-24 11:40:00,2.44360000,2.44630000,2.44360000,2.44550000,214214.80000000,2025-10-24 11:44:59,1719
2025-10-24 11:45:00,2.44560000,2.44810000,2.44400000,2.44600000,166268.90000000,2025-10-24 11:49:59,2057
2025-10-24 11:50:00,2.44590000,2.45310000,2.44540000,2.45280000,230192.50000000,2025-10-24 11:54:59,2730
2025-10-24 11:55:00,2.45280000,2.45650000,2.45140000,2.45590000,249278.40000000,2025-10-24 11:59:59,3009
2025-10-24 12:00:00,2.45600000,2.45980000,2.45590000,2.45660000,272301.60000000,2025-10-24 12:04:59,2488
2025-10-24 12:05:00,2.45670000,2.45940000,2.45650000,2.45910000,192336.80000000,2025-10-24 12:09:59,1907
2025-10-24 12:10:00,2.45910000,2.46590000,2.45830000,2.46520000,438746.50000000,2025-10-24 12:14:59,3546
2025-10-24 12:15:00,2.46520000,2.46520000,2.45870000,2.45880000,432295.50000000,2025-10-24 12:19:59,4510
2025-10-24 12:20:00,2.45890000,2.46580000,2.45880000,2.46470000,412765.00000000,2025-10-24 12:24:59,3695
2025-10-24 12:25:00,2.46470000,2.46480000,2.45840000,2.46010000,379447.50000000,2025-10-24 12:29:59,3399
2025-10-24 12:30:00,2.46010000,2.50030000,2.45840000,2.47680000,6439263.20000000,2025-10-24 12:34:59,40566
2025-10-24 12:35:00,2.47670000,2.48510000,2.47270000,2.48480000,955304.00000000,2025-10-24 12:39:59,14220
2025-10-24 12:40:00,2.48490000,2.48620000,2.47880000,2.48380000,607769.40000000,2025-10-24 12:44:59,7130
2025-10-24 12:45:00,2.48390000,2.48480000,2.47330000,2.47620000,564519.90000000,2025-10-24 12:49:59,7428
2025-10-24 12:50:00,2.47630000,2.48090000,2.47090000,2.47270000,744321.20000000,2025-10-24 12:54:59,6844
2025-10-24 12:55:00,2.47270000,2.48080000,2.47250000,2.48050000,711929.90000000,2025-10-24 12:59:59,5293
2025-10-24 13:00:00,2.48060000,2.48280000,2.47420000,2.48170000,317714.50000000,2025-10-24 13:04:59,5413
2025-10-24 13:05:00,2.48170000,2.48870000,2.47920000,2.48810000,514902.70000000,2025-10-24 13:09:59,5260
2025-10-24 13:10:00,2.48820000,2.48970000,2.48560000,2.48720000,297430.20000000,2025-10-24 13:14:59,4628
2025-10-24 13:15:00,2.48710000,2.49380000,2.48510000,2.49220000,596093.40000000,2025-10-24 13:19:59,6955
2025-10-24 13:20:00,2.49230000,2.50060000,2.49140000,2.49210000,1038357.20000000,2025-10-24 13:24:59,8257
2025-10-24 13:25:00,2.49220000,2.49710000,2.48740000,2.49630000,874384.70000000,2025-10-24 13:29:59,7210
2025-10-24 13:30:00,2.49640000,2.50990000,2.49260000,2.50950000,1711700.30000000,2025-10-24 13:34:59,19658
